="Basic Regression Results"
="",="(1)",="(2)",="(3)",="(4)"
="",="",="(0.0582)",="",="(0.0496)"
="江苏省 # date=2023",="",="0.0016",="",="-0.0267"
="",="",="(0.0557)",="",="(0.0497)"
="江西省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="江西省 # date=2016",="",="0.0615",="",="0.0275"
="",="",="(0.0766)",="",="(0.0518)"
="江西省 # date=2017",="",="-0.0117",="",="-0.0417"
="",="",="(0.0806)",="",="(0.0611)"
="江西省 # date=2018",="",="0.0522",="",="0.0234"
="",="",="(0.0948)",="",="(0.0675)"
="江西省 # date=2019",="",="-0.0674",="",="-0.0904"
="",="",="(0.0896)",="",="(0.0622)"
="江西省 # date=2020",="",="0.0307",="",="0.0044"
="",="",="(0.0840)",="",="(0.0578)"
="江西省 # date=2021",="",="-0.0831",="",="-0.1082"
="",="",="(0.0960)",="",="(0.0687)"
="江西省 # date=2022",="",="-0.0355",="",="-0.0555"
="",="",="(0.0910)",="",="(0.0691)"
="江西省 # date=2023",="",="-0.0210",="",="-0.0520"
="",="",="(0.1031)",="",="(0.0641)"
="河北省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="河北省 # date=2016",="",="0.0632",="",="0.0836"
="",="",="(0.0715)",="",="(0.0671)"
="河北省 # date=2017",="",="0.0128",="",="0.0523"
="",="",="(0.0755)",="",="(0.0764)"
="河北省 # date=2018",="",="0.0836",="",="0.1077"
="",="",="(0.0698)",="",="(0.0655)"
="河北省 # date=2019",="",="-0.0510",="",="-0.0127"
="",="",="(0.0692)",="",="(0.0638)"
="河北省 # date=2020",="",="-0.0323",="",="-0.0064"
="",="",="(0.0909)",="",="(0.0953)"
="河北省 # date=2021",="",="-0.0554",="",="-0.0317"
="",="",="(0.0892)",="",="(0.0753)"
="河北省 # date=2022",="",="0.0991",="",="0.0880"
="",="",="(0.0839)",="",="(0.0778)"
="河北省 # date=2023",="",="-0.0055",="",="0.0076"
="",="",="(0.0873)",="",="(0.0781)"
="河南省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="河南省 # date=2016",="",="0.0214",="",="0.0390"
="",="",="(0.0828)",="",="(0.0733)"
="河南省 # date=2017",="",="-0.0045",="",="0.0039"
="",="",="(0.0931)",="",="(0.0828)"
="河南省 # date=2018",="",="-0.0131",="",="-0.0042"
="",="",="(0.0908)",="",="(0.0802)"
="河南省 # date=2019",="",="-0.0068",="",="0.0123"
="",="",="(0.0967)",="",="(0.0837)"
="河南省 # date=2020",="",="-0.0335",="",="-0.0149"
="",="",="(0.1062)",="",="(0.0887)"
="河南省 # date=2021",="",="-0.0714",="",="-0.0603"
="",="",="(0.0996)",="",="(0.0821)"
="河南省 # date=2022",="",="-0.0334",="",="-0.0311"
="",="",="(0.1148)",="",="(0.0932)"
="河南省 # date=2023",="",="-0.0349",="",="-0.0380"
="",="",="(0.1089)",="",="(0.0857)"
="浙江省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="浙江省 # date=2016",="",="-0.0089",="",="-0.0038"
="",="",="(0.0371)",="",="(0.0349)"
="浙江省 # date=2017",="",="-0.0220",="",="-0.0237"
="",="",="(0.0406)",="",="(0.0358)"
="浙江省 # date=2018",="",="0.0460",="",="0.0273"
="",="",="(0.0464)",="",="(0.0405)"
="浙江省 # date=2019",="",="-0.0158",="",="-0.0253"
="",="",="(0.0429)",="",="(0.0378)"
="浙江省 # date=2020",="",="0.0197",="",="-0.0006"
="",="",="(0.0487)",="",="(0.0418)"
="浙江省 # date=2021",="",="-0.0798",="",="-0.1012**"
="",="",="(0.0562)",="",="(0.0482)"
="浙江省 # date=2022",="",="-0.0313",="",="-0.0712"
="",="",="(0.0601)",="",="(0.0513)"
="浙江省 # date=2023",="",="-0.0120",="",="-0.0438"
="",="",="(0.0565)",="",="(0.0482)"
="海南省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="海南省 # date=2016",="",="-0.0253",="",="0.0008"
="",="",="(0.0825)",="",="(0.0812)"
="海南省 # date=2017",="",="-0.1601",="",="-0.1230"
="",="",="(0.1153)",="",="(0.1143)"
